timestamp,battery_voltage,battery_charging_current,battery_discharge_current,battery_capacity,battery_soc_percent,is_charging_on
2024-07-01T00:00:00,13.13,0.0,60.0,100.0,59.4,0
2024-07-01T00:05:00,13.08,0.0,60.0,100.0,58.9,0
2024-07-01T00:10:00,13.06,0.0,60.0,100.0,58.3,0
2024-07-01T00:15:00,13.03,0.0,60.0,100.0,57.8,0
2024-07-01T00:20:00,13.12,0.0,60.0,100.0,57.2,0
2024-07-01T00:25:00,12.97,0.0,60.0,100.0,56.7,0
2024-07-01T00:30:00,13.0,0.0,60.0,100.0,56.1,0
2024-07-01T00:35:00,13.01,0.0,60.0,99.99,55.6,0
2024-07-01T00:40:00,13.01,0.0,60.0,99.99,55.0,0
2024-07-01T00:45:00,12.93,0.0,60.0,99.99,54.5,0
2024-07-01T00:50:00,12.89,0.0,60.0,99.99,53.9,0
2024-07-01T00:55:00,12.86,0.0,60.0,99.99,53.4,0
2024-07-01T01:00:00,12.88,0.0,60.0,99.99,52.8,0
2024-07-01T01:05:00,12.85,0.0,60.0,99.99,52.3,0
2024-07-01T01:10:00,12.8,0.0,60.0,99.99,51.7,0
2024-07-01T01:15:00,12.82,0.0,60.0,99.99,51.2,0
2024-07-01T01:20:00,12.81,0.0,60.0,99.99,50.6,0
2024-07-01T01:25:00,12.81,0.0,60.0,99.99,50.0,0
2024-07-01T01:30:00,12.74,0.0,60.0,99.99,49.5,0
2024-07-01T01:35:00,12.73,0.0,60.0,99.99,48.9,0
2024-07-01T01:40:00,12.74,0.0,60.0,99.99,48.4,0
2024-07-01T01:45:00,12.68,0.0,60.0,99.98,47.8,0
2024-07-01T01:50:00,12.73,0.0,60.0,99.98,47.3,0
2024-07-01T01:55:00,12.65,0.0,60.0,99.98,46.7,0
2024-07-01T02:00:00,12.73,0.0,60.0,99.98,46.2,0
2024-07-01T02:05:00,12.67,0.0,60.0,99.98,45.6,0
2024-07-01T02:10:00,12.62,0.0,60.0,99.98,45.1,0
2024-07-01T02:15:00,12.6,0.0,60.0,99.98,44.5,0
2024-07-01T02:20:00,12.59,0.0,60.0,99.98,44.0,0
2024-07-01T02:25:00,12.56,0.0,60.0,99.98,43.4,0
2024-07-01T02:30:00,12.56,0.0,60.0,99.98,42.9,0
2024-07-01T02:35:00,12.57,0.0,60.0,99.98,42.3,0
2024-07-01T02:40:00,12.49,0.0,60.0,99.98,41.8,0
2024-07-01T02:45:00,12.49,0.0,60.0,99.98,41.2,0
2024-07-01T02:50:00,12.48,0.0,60.0,99.97,40.7,0
2024-07-01T02:55:00,12.5,0.0,60.0,99.97,40.1,0
2024-07-01T03:00:00,12.49,0.0,60.0,99.97,39.6,0
2024-07-01T03:05:00,12.43,0.0,60.0,99.97,39.0,0
2024-07-01T03:10:00,12.46,0.0,60.0,99.97,38.4,0
2024-07-01T03:15:00,12.38,0.0,60.0,99.97,37.9,0
2024-07-01T03:20:00,12.39,0.0,60.0,99.97,37.3,0
2024-07-01T03:25:00,12.36,0.0,60.0,99.97,36.8,0
2024-07-01T03:30:00,12.3,0.0,60.0,99.97,36.3,0
2024-07-01T03:35:00,12.29,0.0,60.0,99.97,35.7,0
2024-07-01T03:40:00,12.38,0.0,60.0,99.97,35.2,0
2024-07-01T03:45:00,12.31,0.0,60.0,99.97,34.6,0
2024-07-01T03:50:00,12.28,0.0,60.0,99.97,34.0,0
2024-07-01T03:55:00,12.31,0.0,60.0,99.97,33.5,0
2024-07-01T04:00:00,12.24,0.0,60.0,99.96,33.0,0
2024-07-01T04:05:00,12.2,0.0,60.0,99.96,32.4,0
2024-07-01T04:10:00,12.19,0.0,60.0,99.96,31.9,0
2024-07-01T04:15:00,12.16,0.0,60.0,99.96,31.3,0
2024-07-01T04:20:00,12.11,0.0,60.0,99.96,30.8,0
2024-07-01T04:25:00,12.15,0.0,60.0,99.96,30.2,0
2024-07-01T04:30:00,12.16,0.0,60.0,99.96,29.6,0
2024-07-01T04:35:00,12.1,0.0,60.0,99.96,29.1,0
2024-07-01T04:40:00,12.17,0.0,60.0,99.96,28.5,0
2024-07-01T04:45:00,12.03,0.0,60.0,99.96,28.0,0
2024-07-01T04:50:00,12.07,0.0,60.0,99.96,27.4,0
2024-07-01T04:55:00,12.1,0.0,60.0,99.96,26.9,0
2024-07-01T05:00:00,12.0,0.0,60.0,99.96,26.3,0
2024-07-01T05:05:00,11.98,0.0,60.0,99.95,25.8,0
2024-07-01T05:10:00,12.0,0.0,60.0,99.95,25.3,0
2024-07-01T05:15:00,12.0,0.0,60.0,99.95,24.7,0
2024-07-01T05:20:00,11.94,0.0,60.0,99.95,24.1,0
